image_index,mse,annotation
1,0.6348272,correct
2,0.53267455,correct
3,0.8621841,correct
4,0.24462983,correct
5,4.5505686,correct
6,0.30843097,correct
7,1.0169947,correct
8,3.0557644,correct
9,0.6373291,correct
10,0.72372,correct
11,0.39722496,correct
12,0.5644971,correct
13,491.82574,incorrect
14,1.1553714,correct
15,0.3595795,correct
16,0.31325716,correct
17,1.2967482,correct
18,0.30700725,correct
19,0.4121229,correct
20,0.2975474,correct
21,1.6726706,correct
22,1.6157005,correct
23,0.47391132,correct
24,0.32957774,correct
25,589.5812,incorrect
26,1.335,correct
27,0.72491693,correct
28,2599.653,incorrect
29,0.452815,correct
30,1.2205807,correct
31,1.2223151,correct
32,0.6276966,correct
33,1.648558,correct
34,0.24598789,correct
35,0.3879884,correct
36,0.5312738,correct
37,1.5036356,correct
38,1.0643051,correct
39,0.4016916,correct
40,314.75937,incorrect
41,0.68615496,correct
42,0.57097924,correct
43,2.1547463,correct
44,0.4563504,correct
45,0.4093726,correct
46,0.38463196,correct
47,0.6489175,correct
48,1.1039178,correct
49,0.2289334,correct
50,0.71564233,correct
51,433.2048,incorrect
52,0.9358404,correct
53,0.43737417,correct
54,1.0216293,correct
55,738.2908,incorrect
56,0.38877314,correct
57,0.4516344,correct
58,0.9300728,correct
59,1.0449731,correct
60,0.6407317,correct
61,0.29919237,correct
62,4.874547,correct
63,1.1482027,correct
64,1.122117,correct
65,0.4992517,correct
66,1.4030495,correct
67,0.7548808,correct
68,0.6963828,correct
69,0.3780605,correct
70,4.127208,correct
71,0.556344,correct
72,0.68572056,correct
73,0.38668266,correct
74,0.810619,correct
75,0.63814676,correct
76,0.6426932,correct
77,0.9712935,correct
78,0.5223367,correct
79,0.41327083,correct
80,0.43958363,correct
81,0.9906138,correct
82,0.35268366,correct
83,0.20825347,correct
84,0.55234605,correct
85,0.7632706,correct
86,0.50572866,correct
87,0.8346111,correct
88,0.7874998,correct
89,1.0823693,correct
90,1.2058274,correct
91,0.5028764,correct
92,0.82262063,correct
93,0.58395946,correct
94,0.31902283,correct
95,0.6653679,correct
96,0.8081821,correct
97,1.2747666,correct
98,0.5647441,correct
99,1.1494272,correct
100,2895.0837,incorrect
101,0.547335,correct
102,0.6404381,correct
103,0.8665638,correct
104,0.39483833,correct
105,603.493,incorrect
106,0.7209899,correct
107,0.6495113,correct
108,0.8091272,correct
109,0.41268796,correct
110,0.7546967,correct
111,1.927671,correct
112,0.26213008,correct
113,0.35877186,correct
114,0.45224172,correct
115,0.5694085,correct
116,1.1890937,correct
117,1.2535592,correct
118,0.4693431,correct
119,0.5611978,correct
120,0.5216191,correct
121,0.53816795,correct
122,0.31517115,correct
123,0.92044055,correct
124,1.5486418,correct
125,0.64589214,correct
126,0.4538455,correct
127,0.4012068,correct
128,0.19453463,correct
129,3492.0068,incorrect
130,0.6753373,correct
131,1.5041229,correct
132,1.247631,correct
133,0.7342657,correct
134,0.8324666,correct
135,0.5317219,correct
136,0.5017578,correct
137,0.58103496,correct
138,0.807135,correct
139,1.6296504,correct
140,0.6469557,correct
141,0.6249727,correct
142,0.4346252,correct
143,0.765833,correct
144,1.1162493,correct
145,0.712021,correct
146,1.0924128,correct
147,2.2984028,correct
148,19.690695,incorrect
149,1746.2612,incorrect
150,0.2955202,correct
151,0.7040118,correct
152,0.81985873,correct
153,0.7068449,correct
154,1.1200136,correct
155,0.5697012,correct
156,0.4402454,correct
157,0.74597687,correct
158,0.332429,correct
159,0.6981888,correct
160,0.5663862,correct
161,0.58058447,correct
162,0.3887442,correct
163,0.49206543,correct
164,1.4738739,correct
165,0.20524222,correct
166,0.42424625,correct
167,0.8948112,correct
168,0.22762126,correct
169,331.22305,incorrect
170,1.3700773,correct
171,0.7560912,correct
172,1.0480882,correct
173,0.99175763,correct
174,0.7606754,correct
175,2.945499,correct
176,1.1133095,correct
177,1.7536176,correct
178,0.2266318,correct
179,0.9998021,correct
180,6.963071,incorrect
181,0.6384268,correct
182,0.9690031,correct
183,3.7037365,correct
184,0.58412075,correct
185,0.9107719,correct
186,0.7181301,correct
187,0.480909,correct
188,0.53830326,correct
189,0.39281768,correct
190,0.95777225,correct
191,0.47484213,correct
192,0.47840694,correct
193,0.3716021,correct
194,1.1059188,correct
195,0.28429288,correct
196,0.27454066,correct
197,1082.9677,incorrect
198,0.64860064,correct
199,0.39086658,correct
200,0.6166854,correct
201,0.28320718,correct
202,0.49842578,correct
203,0.26752138,correct
204,1.311244,correct
205,0.804439,correct
206,0.9014205,correct
207,1206.3303,incorrect
208,0.31891984,correct
209,0.5104342,correct
210,0.43746006,correct
211,0.48174828,correct
212,0.4082344,correct
213,1.043509,correct
214,0.75442797,correct
215,0.9783915,correct
216,0.60498893,correct
217,0.86225796,correct
218,0.6020245,correct
219,0.34136754,correct
220,1.0049958,correct
221,1.2298597,correct
222,0.4420869,correct
223,0.45863432,correct
224,0.52387476,correct
225,0.47429138,correct
226,0.60737926,correct
227,0.6061173,correct
228,0.3185172,correct
229,0.6494908,correct
230,783.01025,incorrect
231,0.31593502,correct
232,0.598625,correct
233,0.60111845,correct
234,0.9909847,correct
235,0.9895144,correct
236,1.1171451,correct
237,1.000907,correct
238,570.20667,incorrect
239,0.5656182,correct
240,0.9048612,correct
241,1248.1683,incorrect
242,1.1998253,correct
243,1.3986465,correct
244,0.66168314,correct
245,0.92716783,correct
246,0.31975117,correct
247,1.2893295,correct
248,0.657031,correct
249,1.3950582,correct
250,0.66793805,correct
251,1108.9058,incorrect
252,0.41906074,correct
253,1211.6125,incorrect
254,1.2660776,correct
255,0.7634891,correct
256,0.88904536,correct
257,0.5711801,correct
258,0.50267446,correct
259,1.0432918,correct
260,6.044422,incorrect
261,0.28204918,correct
262,0.95204234,correct
263,0.649961,correct
264,388.32556,incorrect
265,0.44936088,correct
266,1.1303513,correct
267,0.88599396,correct
268,0.3062257,correct
269,0.581029,correct
270,0.3063665,correct
271,0.4367339,correct
272,1.1898947,correct
273,0.36835492,correct
274,0.37873137,correct
275,0.21723646,correct
276,0.8948776,correct
277,0.2966611,correct
278,0.3238331,correct
279,60.08508,incorrect
280,0.55720913,correct
281,0.50676644,correct
282,0.6072675,correct
283,0.67402685,correct
284,391.11542,incorrect
285,0.29211247,correct
286,1.168404,correct
287,0.77720124,correct
288,0.66966563,correct
289,0.61968446,correct
290,0.5283599,correct
291,0.663373,correct
292,1.2957532,correct
293,1.1336575,correct
294,0.5009669,correct
295,0.42943436,correct
296,0.5658736,correct
297,1.1627548,correct
298,0.9758574,correct
299,0.98379415,correct
300,0.45732576,correct
301,0.8045167,correct
302,0.66965973,correct
303,2.3221617,correct
304,0.8320433,correct
305,1.8157446,correct
306,0.3245362,correct
307,1.094496,correct
308,1.0415677,correct
309,0.54357135,correct
310,0.30696636,correct
311,1.2338234,correct
312,0.4917767,correct
313,0.6447433,correct
314,1.8781592,correct
315,0.6476645,correct
