image_index,mse,annotation
288,0.52524155,correct
289,1.2151096,correct
290,0.41558474,correct
291,2.7424395,correct
292,0.73628354,correct
293,0.8197819,correct
294,1.138341,correct
295,1.8883624,correct
296,3.2507913,correct
297,0.6439276,correct
298,0.6363778,correct
299,0.5031414,correct
300,0.48877338,correct
301,0.5888675,correct
302,7.2628384,incorrect
303,0.59387887,correct
304,0.5241586,correct
305,0.29178357,correct
306,1.3469886,correct
307,1.3303763,correct
308,0.6023033,correct
309,0.7207513,correct
310,0.35511062,correct
311,0.68687326,correct
312,1.1345798,correct
313,0.3908767,correct
314,0.46722746,correct
315,0.3197214,correct
316,0.2742036,correct
317,0.9306357,correct
318,0.6781167,correct
319,0.52151144,correct
320,0.68303216,correct
321,3.2026927,correct
322,1.4763517,correct
323,0.65517986,correct
324,0.632249,correct
325,0.6156808,correct
326,0.60703754,correct
327,0.4945851,correct
328,0.40373832,correct
329,0.80885476,correct
330,0.5519439,correct
331,1.4441668,correct
332,0.6795076,correct
333,0.6917496,correct
334,1.2645118,correct
335,1.2983716,correct
336,0.96674895,correct
337,537.35583,incorrect
338,0.35696042,correct
339,0.7117186,correct
340,0.4868827,correct
341,0.6315367,correct
342,0.56189466,correct
343,1.2275138,correct
344,0.71592814,correct
345,1.4220841,correct
346,0.48604855,correct
347,0.38901728,correct
348,0.57588446,correct
349,0.6958458,correct
350,0.6674639,correct
351,0.6117842,correct
352,1.1707544,correct
353,4420.7246,incorrect
354,0.5842205,correct
355,0.72391987,correct
356,0.6936362,correct
357,1.0060784,correct
358,0.687615,correct
359,0.36631534,correct
360,0.6987521,correct
361,0.7012746,correct
362,0.34191367,correct
363,0.83086956,correct
364,0.52768165,correct
365,0.83919054,correct
366,1.4651327,correct
367,0.2747817,correct
368,0.38936847,correct
369,0.308462,correct
370,0.45212176,correct
371,0.6333972,correct
372,0.544062,correct
373,0.14011332,correct
374,0.8670418,correct
375,0.27065223,correct
376,0.867854,correct
377,0.6987203,correct
378,4.2669067,correct
379,2.4829416,correct
380,0.4160834,correct
381,1.336657,correct
382,1.0521014,correct
383,0.58984923,correct
384,788.5658,incorrect
385,0.55756277,correct
386,0.8540883,correct
387,0.6074702,correct
388,1.1442282,correct
389,0.37117368,correct
390,910.10706,incorrect
391,0.97648436,correct
392,1.2549322,correct
393,0.30772665,correct
394,1.4776452,correct
395,1.3999346,correct
396,0.37843376,correct
397,0.4734743,correct
398,1.7064047,correct
399,0.73136985,correct
400,0.91417,correct
401,1.1611986,correct
402,828.32764,incorrect
403,0.5697217,correct
404,2.0652237,correct
405,0.54891443,correct
406,0.35319844,correct
407,718.14374,incorrect
408,0.39412007,correct
409,0.6635598,correct
410,1.1390804,correct
411,0.97074175,correct
412,0.5945198,correct
413,0.57256305,correct
414,0.7766605,correct
415,93.5137,incorrect
416,0.60331345,correct
417,1.0407455,correct
418,0.8758989,correct
419,0.5165318,correct
420,0.2584098,correct
421,0.62279755,correct
422,0.44340563,correct
423,0.5488246,correct
424,0.6356038,correct
425,0.9761632,correct
426,0.4515443,correct
427,1.0657864,correct
428,0.8687111,correct
429,477.47415,incorrect
430,0.6779667,correct
431,398.52563,incorrect
432,0.5278434,correct
433,0.70155877,correct
434,0.5021413,correct
435,0.7204412,correct
436,0.9414679,correct
437,0.38889027,correct
438,0.95009637,correct
439,0.40578315,correct
440,0.84195316,correct
441,1.7062069,correct
442,1.047637,correct
443,4.6182585,correct
444,3.7483997,correct
445,1.2991906,correct
446,0.8861884,correct
447,0.4800821,correct
448,1.4136336,correct
449,1.3051772,correct
450,0.8118051,correct
451,0.9324505,correct
452,1.6268833,correct
453,0.16801856,correct
454,1.1506903,correct
455,291.46503,incorrect
456,0.42829567,correct
457,0.34825152,correct
458,0.85268307,correct
459,0.42582768,correct
460,0.3644733,correct
461,1.6069124,correct
462,1197.4692,incorrect
463,1.662525,correct
464,545.8199,incorrect
465,1.0250905,correct
466,0.36834657,correct
467,0.50344586,correct
468,0.41469356,correct
469,0.45203164,correct
470,0.628453,correct
471,0.7069849,correct
472,1821.6697,incorrect
473,0.9116148,correct
474,0.7658675,correct
475,0.31701767,correct
476,1.0667808,correct
477,0.36357987,correct
478,0.8560938,correct
479,0.50566167,correct
480,1.1574616,correct
481,0.64120126,correct
482,0.6843053,correct
483,0.9503526,correct
484,1.7122102,correct
485,0.5392555,correct
486,0.83021164,correct
487,0.5809946,correct
488,0.55884683,correct
489,0.5011443,correct
490,0.81746197,correct
491,1.6833649,correct
492,0.51097405,correct
493,1.0375576,correct
494,238.53246,incorrect
495,0.93203604,correct
496,0.722806,correct
497,0.79281735,correct
498,0.63619125,correct
499,0.28067076,correct
500,0.39630133,correct
501,0.84737825,correct
502,0.8315,correct
503,1.4761467,correct
504,0.47191295,correct
505,1.0459942,correct
506,0.5028791,correct
507,1.2484759,correct
508,0.933174,correct
509,1704.8293,incorrect
510,0.5968673,correct
511,0.94109464,correct
512,0.5972285,correct
513,1.7903339,correct
514,0.7335236,correct
515,1.212206,correct
516,0.534592,correct
517,1.1272813,correct
518,1.5133924,correct
519,0.63878286,correct
520,1.4681586,correct
521,0.29336762,correct
522,0.49796745,correct
523,1.1647513,correct
524,0.7897749,correct
525,1.2755983,correct
526,1.4101086,correct
527,0.59373206,correct
528,0.5661083,correct
529,0.31494337,correct
530,0.33132988,correct
531,0.8918612,correct
532,2.0383544,correct
533,0.8264616,correct
534,0.45375806,correct
535,2.1835165,correct
536,1.1147331,correct
537,1.0975292,correct
538,0.6492032,correct
539,0.481116,correct
540,0.3654757,correct
541,0.9559782,correct
542,0.4348165,correct
543,0.5397582,correct
544,0.76634187,correct
545,0.2616011,correct
546,0.5921994,correct
547,0.30892718,correct
548,1.4681975,correct
549,0.44890773,correct
550,0.48789787,correct
551,0.47995526,correct
552,0.6857959,correct
553,0.81931865,correct
554,0.6291642,correct
555,0.67163384,correct
556,0.5595284,correct
557,0.32077715,correct
558,0.3600459,correct
559,294.18414,incorrect
560,0.51435053,correct
561,0.9335751,correct
562,0.88400656,correct
563,1.174896,correct
564,0.6665545,correct
565,0.5784639,correct
566,0.6986145,correct
567,0.50414336,correct
568,0.8803915,correct
569,0.73016536,correct
570,1.5978024,correct
571,0.7771412,correct
572,1.2389318,correct
573,0.5827073,correct
574,1.0554981,correct
575,1.4717982,correct
576,3.8212044,correct
577,0.30058303,correct
578,1.2358638,correct
579,1.6176062,correct
580,0.42655095,correct
581,0.6683377,correct
582,0.51210344,correct
583,0.47456792,correct
584,0.62173367,correct
585,3.8751183,correct
586,1.0798464,correct
587,2154.046,incorrect
588,0.59802365,correct
589,1.0306425,correct
590,0.7521665,correct
591,0.59812135,correct
592,0.65442765,correct
593,0.7931006,correct
594,0.5630239,correct
