image_index,mse,annotation
290,0.2762406,correct
291,0.6711992,correct
292,0.40312177,correct
293,1.0440432,correct
294,0.5472048,correct
295,0.74132943,correct
296,0.6890532,correct
297,0.55503064,correct
298,0.5608476,correct
299,0.2667231,correct
300,0.62429225,correct
301,0.90597576,correct
302,0.66636854,correct
303,0.7820543,correct
304,0.79395664,correct
305,0.8212797,correct
306,0.5208715,correct
307,0.48740655,correct
308,1.3425806,correct
309,0.42067504,correct
310,0.5910291,correct
311,1.0621231,correct
312,0.5350296,correct
313,0.5470577,correct
314,0.54625446,correct
315,1.3339851,correct
316,0.6229738,correct
317,0.4572875,correct
318,0.7488744,correct
319,0.49727875,correct
320,0.45582405,correct
321,0.3741259,correct
322,0.5087042,correct
323,1.3251681,correct
324,1.127704,correct
325,1.7148367,correct
326,0.6858299,correct
327,3.0096374,correct
328,1.2364609,correct
329,1.6331952,correct
330,0.22243306,correct
331,0.7336489,correct
332,0.6650592,correct
333,0.5972873,correct
334,0.6797628,correct
335,0.4000591,correct
336,1.1200498,correct
337,0.76439685,correct
338,1.1106,correct
339,1.4475665,correct
340,0.47308812,correct
341,0.37746298,correct
342,1.0163698,correct
343,0.45827854,correct
344,0.47614062,correct
345,0.46128124,correct
346,0.6920323,correct
347,0.6934149,correct
348,0.48065937,correct
349,1476.7314,incorrect
350,0.23354325,correct
351,0.29857972,correct
352,0.2956208,correct
353,1.2209369,correct
354,803.17773,incorrect
355,1.1023147,correct
356,1.3580909,correct
357,0.5812948,correct
358,0.5051352,correct
359,0.36908752,correct
360,1640.7517,incorrect
361,4.1504407,correct
362,0.7576459,correct
363,1.7293332,correct
364,0.38073915,correct
365,0.35301232,correct
366,0.41792572,correct
367,0.61669075,correct
368,0.4841044,correct
369,0.42229986,correct
370,0.5686312,correct
371,0.4813806,correct
372,1.026105,correct
373,0.95806015,correct
374,1.791329,correct
375,0.4184039,correct
376,0.55355716,correct
377,0.7888186,correct
378,0.6877125,correct
379,1204.5125,incorrect
380,1.1887991,correct
381,0.8871846,correct
382,0.75569034,correct
383,0.45315498,correct
384,0.6233524,correct
385,379.98904,incorrect
386,0.54928994,correct
387,0.32542178,correct
388,0.48968124,correct
389,0.3665371,correct
390,0.6035748,correct
391,0.8538101,correct
392,0.40219793,correct
393,0.41834176,correct
394,1.9163086,correct
395,0.7382332,correct
396,0.28991902,correct
397,0.2946952,correct
398,0.63979316,correct
399,0.39432758,correct
400,0.602823,correct
401,2.0117345,correct
402,0.4798525,correct
403,0.73880106,correct
404,0.5200447,correct
405,0.39282858,correct
406,1.0785757,correct
407,0.46411318,correct
408,2.9453065,correct
409,0.4699266,correct
410,0.39896965,correct
411,0.44499874,correct
412,0.8073089,correct
413,0.9445328,correct
414,1.3179638,correct
415,1.1888962,correct
416,1.0031283,correct
417,0.7247403,correct
418,1.8235939,correct
419,0.2765975,correct
420,0.8566983,correct
421,0.7909807,correct
422,0.66162574,correct
423,66.70879,incorrect
424,402.59045,incorrect
425,0.31636095,correct
426,257.16418,incorrect
427,515.7617,incorrect
428,1.4261922,correct
429,0.9226646,correct
430,0.6506834,correct
431,0.49055046,correct
432,1.992726,correct
433,1030.3677,incorrect
434,0.9442322,correct
435,0.28836745,correct
436,0.5032397,correct
437,0.62085927,correct
438,0.9044213,correct
439,0.6448276,correct
440,0.24255991,correct
441,2.5345473,correct
442,0.5939272,correct
443,1.4466764,correct
444,0.33170968,correct
445,0.8047992,correct
446,0.78557026,correct
447,0.38808888,correct
448,320.9849,incorrect
449,0.98650074,correct
450,1.2306725,correct
451,0.42126852,correct
452,0.19737445,correct
453,1399.1431,incorrect
454,0.77161837,correct
455,0.56391376,correct
456,0.29619312,correct
457,1.8306217,correct
458,0.8575311,correct
459,0.4379303,correct
460,0.5909045,correct
461,2257.8538,incorrect
462,0.782135,correct
463,0.48631912,correct
464,0.52160645,correct
465,1.0634605,correct
466,0.5093499,correct
467,0.7155845,correct
468,808.5785,incorrect
469,0.9585307,correct
470,0.59748864,correct
471,1.6635703,correct
472,0.6972991,correct
473,0.7601918,correct
474,0.25911373,correct
475,0.8047266,correct
476,0.64023983,correct
477,0.4900973,correct
478,0.34982854,correct
479,1.4870496,correct
480,0.6396796,correct
481,0.70701975,correct
482,0.80245894,correct
483,0.29573083,correct
484,0.32571107,correct
485,0.6153136,correct
486,0.3959584,correct
487,0.5389885,correct
488,0.9539327,correct
489,0.92419916,correct
490,1.5231924,correct
491,0.38938358,correct
492,0.8019228,correct
493,0.8827034,correct
494,0.40629488,correct
495,0.7087149,correct
496,0.59235865,correct
497,0.500993,correct
498,1.1149067,correct
499,1.8134469,correct
500,0.5550898,correct
501,0.7024956,correct
502,1.598563,correct
503,0.9162479,correct
504,0.33572686,correct
505,0.8784219,correct
506,0.47824937,correct
507,1.3668292,correct
508,1.2217474,correct
509,0.6626086,correct
510,1.992227,correct
511,0.8349917,correct
512,0.76340854,correct
513,0.571171,correct
514,1.0387074,correct
515,1261.186,incorrect
516,0.33458105,correct
517,0.70030504,correct
518,0.6736673,correct
519,1.8629608,correct
520,0.81591475,correct
521,0.33363128,correct
522,1.203552,correct
523,0.38949555,correct
524,1.2955394,correct
525,0.30614316,correct
526,1.1030304,correct
527,0.55708665,correct
528,0.5955316,correct
529,0.27459028,correct
530,0.56179786,correct
531,0.7808515,correct
532,0.3759543,correct
533,1.5439215,correct
534,0.8685177,correct
535,1.1121385,correct
536,0.5427988,correct
537,1.0378966,correct
538,0.7004458,correct
539,0.21022852,correct
540,0.4208669,correct
541,1.4652377,correct
542,0.42511642,correct
543,0.58617705,correct
544,1.4571499,correct
545,0.66668725,correct
546,0.7191524,correct
547,0.732442,correct
548,15.417695,incorrect
549,0.68349725,correct
550,1.2669647,correct
551,3.3321104,correct
552,0.660889,correct
553,1.1558758,correct
554,0.68848443,correct
555,0.8487973,correct
556,0.6355237,correct
557,0.18032882,correct
558,0.5890709,correct
559,0.68947506,correct
560,1.3906312,correct
561,0.67295367,correct
562,0.3855381,correct
563,1.6059415,correct
564,0.9546082,correct
565,0.43836233,correct
566,0.6894258,correct
567,0.8263772,correct
568,0.7742747,correct
569,0.95834595,correct
570,0.58714396,correct
571,0.53842306,correct
572,0.43221703,correct
573,1.79553,correct
574,0.792411,correct
575,1.182618,correct
576,0.86973834,correct
577,0.5242185,correct
578,0.5400228,correct
579,0.4110946,correct
580,0.3901372,correct
581,42.056458,incorrect
582,1.4483734,correct
583,0.6521007,correct
584,0.44483063,correct
585,0.7888982,correct
586,85.6268,incorrect
587,0.7906049,correct
